size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,247.0,10.0,94.433,296.0,2147483647.0,0.088,86.677,0.13364,0.0,0.247,0.9840323886639677
20.288,149.0,32.0,103.856,304.0,2147483647.0,0.132,84.662,1.457952,0.248,0.397,1.0892885906040268
56.755,263.0,32.0,112.135,316.0,2147483647.0,0.132,84.662,1.457952,0.397,0.66,1.7263878326996198
55.635000000000005,254.0,72.0,150.043,352.0,2147483647.0,0.164,84.662,2.603512,0.661,0.915,1.7522834645669294
44.464,219.0,78.0,176.537,380.0,2147483647.0,0.216,84.662,2.603512,0.915,1.134,1.624255707762557
44.82,223.0,78.0,160.20999999999998,364.0,2147483647.0,0.188,84.662,2.603512,1.135,1.358,1.6078923766816144
51.41499999999999,241.0,78.0,161.842,364.0,2147483647.0,0.196,84.662,2.603512,1.359,1.6,1.7067219917012446
53.125,245.0,78.0,172.16899999999998,376.0,2147483647.0,0.212,84.662,2.603512,1.601,1.846,1.7346938775510203
924.046,2895.0,78.0,175.577,376.0,2147483647.0,0.212,84.662,2.603512,1.849,4.744,2.5534949913644214
1521.062,4722.0,189.0,782.584,984.0,170.0,0.796,84.662,2.62584,4.749,9.471,2.5769792460821686
46.055,230.0,239.0,1002.832,1280.0,170.0,1.024,84.662,2.618728,9.471,9.701,1.601913043478261
45.925,225.0,239.0,206.703,800.0,170.0,0.128,84.662,2.67748,9.702,9.927,1.6328888888888888
881.81,2793.0,239.0,175.616,744.0,170.0,0.204,84.662,2.67748,9.93,12.723,2.5257715717866094
877.0450000000001,2771.0,295.0,1134.678,1548.0,170.0,1.148,84.662,2.621984,12.726,15.497,2.5320678455431254
47.112,232.0,388.0,1390.12,1916.0,170.0,1.4,84.662,2.615616,15.498,15.73,1.624551724137931
895.396,2827.0,388.0,255.484,1108.0,170.0,0.148,84.662,2.615616,15.733,18.56,2.5338408206579413
874.609,2746.0,513.0,1770.47,2440.0,170.0,1.784,84.662,2.63076,18.563,21.309,2.5480233066278224
62.334,275.0,619.0,2246.705,3220.0,170.0,2.26,84.662,2.642632,21.309,21.584,1.8133527272727274
1118.415,3488.0,619.0,246.133,1684.0,170.0,0.164,84.662,2.733464,21.588,25.076,2.565172018348624
57.513,264.0,780.0,2734.414,3880.0,170.0,2.752,84.662,2.643288,25.076,25.34,1.7428181818181818
988.751,3104.0,780.0,290.65200000000004,2004.0,170.0,0.372,84.662,2.61736,25.562,28.666,2.548327319587629
897.355,2829.0,780.0,2864.909,4260.0,170.0,2.928,84.662,2.625448,28.669,31.498,2.5375892541534113
47.429,233.0,780.0,2407.923,4212.0,170.0,2.476,84.662,2.62456,31.499,31.732,1.6284635193133048
890.832,2851.0,780.0,367.921,2024.0,170.0,0.164,84.662,2.62456,31.735,34.586,2.499703963521571
641.414,2082.0,780.0,2597.637,4140.0,170.0,2.664,84.662,2.586512,34.589,36.671,2.4646071085494716
707.429,2261.0,780.0,1709.473,3252.0,170.0,1.768,84.662,2.571184,36.674,38.935,2.503065900044228
44.752,225.0,780.0,1905.359,3160.0,170.0,1.964,84.662,2.611672,38.936,39.161,1.5911822222222223
1068.161,3384.0,780.0,350.86400000000003,1668.0,170.0,0.572,84.662,2.611672,39.563,42.947,2.5252033096926714
62.352,280.0,780.0,3097.972,4348.0,170.0,3.176,84.662,2.608912,42.948,43.228,1.7814857142857141
1023.238,3286.0,780.0,288.323,2404.0,170.0,0.488,84.662,2.650648,43.563,46.849,2.491145465611686
904.933,2789.0,780.0,3048.665,4740.0,170.0,3.108,84.662,2.562488,46.852,49.641,2.595720329867336
35.059,187.0,780.0,2362.43,4280.0,170.0,2.428,84.662,2.701296,49.641,49.828,1.499850267379679
