size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,263.0,10.0,87.28800000000001,288.0,2147483647.0,0.116,83.9,0.104352,0.0,0.263,0.9241673003802282
20.288,167.0,32.0,115.595,316.0,2147483647.0,0.148,83.9,1.315368,0.264,0.431,0.9718802395209581
56.755,344.0,32.0,123.708,324.0,32.0,0.148,83.9,1.315368,0.432,0.776,1.3198837209302325
55.635000000000005,350.0,34.0,184.554,388.0,32.0,0.212,83.9,1.77756,0.777,1.127,1.271657142857143
44.464,259.0,34.0,175.59,376.0,32.0,0.2,83.9,1.781888,1.127,1.386,1.3734054054054055
44.82,266.0,34.0,131.343,332.0,32.0,0.148,83.9,2.06444,1.386,1.652,1.34796992481203
51.41499999999999,287.0,34.0,147.607,348.0,32.0,0.188,83.9,2.06444,1.652,1.939,1.4331707317073168
53.125,310.0,35.0,145.765,348.0,32.0,0.18,83.9,2.088904,1.94,2.25,1.3709677419354838
924.046,4229.0,37.0,162.186,364.0,32.0,0.2,83.9,1.9598,2.253,6.482,1.7480179711515726
95.183,514.0,71.0,422.452,624.0,32.0,0.436,83.9,1.748032,6.483,6.997,1.4814474708171208
46.055,273.0,71.0,226.997,436.0,32.0,0.28,83.9,1.830632,6.997,7.27,1.3495970695970696
879.41,3510.0,71.0,173.104,380.0,32.0,0.484,83.9,1.830632,7.553,11.063,2.0043532763532763
46.572,268.0,205.0,866.443,1080.0,32.0,0.884,83.9,2.058632,11.063,11.331,1.3902089552238808
877.0450000000001,3487.0,205.0,216.978,740.0,32.0,0.172,83.9,2.058632,11.335,14.822,2.012147978204761
47.112,273.0,412.0,1539.524,1924.0,32.0,1.556,83.9,2.070488,14.822,15.095,1.3805714285714286
895.396,3617.0,412.0,277.26800000000003,1240.0,32.0,0.636,83.9,2.070488,15.549,19.166,1.9804169200995299
46.067,269.0,620.0,2446.881,3200.0,32.0,2.468,83.9,2.024472,19.166,19.435,1.3700223048327138
1065.802,4314.0,620.0,385.689,1924.0,32.0,0.172,83.9,2.052064,19.439,23.753,1.9764524802967083
55.761,309.0,864.0,3562.982,4964.0,32.0,3.572,83.9,2.02292,23.753,24.062,1.4436504854368932
1049.17,4212.0,864.0,392.544,2628.0,32.0,0.192,83.9,2.094856,24.066,28.278,1.9927255460588795
57.586,316.0,864.0,3912.643,5828.0,32.0,4.004,83.9,2.0444,28.278,28.594,1.457873417721519
897.355,3613.0,864.0,382.686,3064.0,32.0,0.18,83.9,2.040784,28.597,32.21,1.986947135344589
47.429,275.0,864.0,3346.049,5596.0,32.0,3.428,83.9,2.039016,32.211,32.486,1.3797527272727272
890.832,3583.0,864.0,480.277,2792.0,32.0,0.184,83.9,2.039016,32.489,36.072,1.9890192576053587
31.812,211.0,864.0,3296.009,5448.0,32.0,3.372,83.9,2.0432400000000004,36.072,36.283,1.2061421800947867
707.429,2897.0,864.0,766.426,3036.0,32.0,0.156,83.9,2.0432400000000004,36.286,39.183,1.9535491888160166
44.752,271.0,864.0,2583.658,4868.0,32.0,2.664,83.9,2.027064,39.183,39.454,1.3210922509225094
1068.161,4297.0,864.0,415.829,2288.0,32.0,0.204,83.9,2.027064,39.458,43.755,1.988663718873633
62.352,329.0,864.0,4002.238,5724.0,32.0,4.084,83.9,2.037208,43.756,44.085,1.516158054711246
1023.238,4079.0,864.0,357.533,3088.0,32.0,0.192,83.9,2.134616,44.088,48.167,2.0068408923755823
51.377,296.0,864.0,3805.862,6064.0,32.0,3.884,83.9,2.059168,48.168,48.464,1.3885675675675677
708.868,2891.0,864.0,435.181,3044.0,32.0,0.176,83.9,1.99776,48.467,51.358,1.9615856105153928
46.718,270.0,864.0,2644.437,4904.0,32.0,2.716,83.9,2.032208,51.358,51.628,1.3842370370370372
1373.604,5593.0,864.0,420.102,2276.0,32.0,0.2,83.9,2.032208,51.632,57.225,1.9647473627748973
46.483,272.0,1319.0,5059.999000000001,6784.0,32.0,5.092,83.9,2.0015280000000004,57.226,57.498,1.3671470588235293
46.289,270.0,1319.0,659.387,3936.0,32.0,0.184,83.9,2.0015280000000004,57.498,57.768,1.371525925925926
976.077,3987.0,1319.0,257.12,3532.0,32.0,0.26,83.9,2.0015280000000004,57.771,61.758,1.9585191873589165
63.858,339.0,1319.0,3793.042,6196.0,32.0,3.88,83.9,2.010032,61.759,62.098,1.5069734513274335
880.905,4550.0,1319.0,369.437,2960.0,32.0,0.244,83.9,2.010032,62.102,66.652,1.548843956043956
58.996,389.0,1319.0,4320.438,6516.0,32.0,4.416,83.9,1.585112,66.653,67.042,1.213285347043702
65.04599999999999,359.0,1319.0,454.266,3436.0,32.0,0.292,83.9,1.585112,67.043,67.402,1.449493036211699
952.777,3935.0,1319.0,295.738,3276.0,32.0,0.492,83.9,1.585112,67.55,71.485,1.937030749682338
50.957,295.0,1319.0,3738.971,5748.0,32.0,3.816,83.9,1.984512,71.486,71.781,1.381884745762712
918.725,3755.0,1319.0,499.599,3052.0,32.0,0.224,83.9,1.984512,71.784,75.539,1.9573368841544607
54.23,308.0,1319.0,3500.931,5844.0,32.0,3.592,83.9,2.013272,75.54,75.848,1.4085714285714286
772.424,3131.0,1319.0,422.622,2820.0,32.0,0.232,83.9,2.013272,75.851,78.982,1.9736160970935803
55.425,301.0,1319.0,2914.731,5040.0,32.0,3.0,83.9,2.040104,78.984,79.285,1.4730897009966777
835.5480000000001,3398.0,1319.0,387.202,2400.0,32.0,0.5,83.9,2.040104,79.549,82.947,1.9671524426133022
45.177,279.0,1319.0,3184.834,4964.0,32.0,3.268,83.9,2.0225280000000003,82.948,83.227,1.2953978494623655
1023.782,4325.0,1319.0,532.279,2728.0,32.0,0.544,83.9,2.0225280000000003,83.55,87.875,1.893700809248555
53.35000000000001,298.0,1319.0,4057.716,6148.0,32.0,4.14,83.9,1.941232,87.876,88.174,1.4322147651006714
1847.26,7361.0,1319.0,483.391,3240.0,32.0,0.216,83.9,1.941232,88.18,95.541,2.0076185300910203
46.229,270.0,1319.0,6986.951,9476.0,32.0,7.104,83.9,2.045968,95.541,95.811,1.3697481481481482
43.268,259.0,1319.0,834.029,5516.0,32.0,0.148,83.9,2.126688,95.812,96.071,1.3364633204633205
43.03,255.0,1319.0,280.676,4876.0,32.0,0.248,83.9,2.126688,96.072,96.327,1.3499607843137256
945.076,3847.0,1319.0,211.383,4524.0,32.0,0.256,83.9,2.126688,96.331,100.178,1.9653257083441644
49.804,289.0,1319.0,3671.7,7040.0,32.0,3.76,83.9,2.126688,100.178,100.467,1.3786574394463669
769.509,3221.0,1319.0,458.613,3180.0,32.0,0.224,83.9,2.126688,100.47,103.691,1.91123005277864
40.096,260.0,1319.0,2997.353,5380.0,32.0,3.08,83.9,1.974432,103.691,103.951,1.233723076923077
1021.631,4279.0,1319.0,551.416,2628.0,32.0,0.212,83.9,1.974432,103.954,108.233,1.9100369245150735
42.731,261.0,1319.0,4011.276,6020.0,32.0,4.092,83.9,1.959288,108.233,108.494,1.3097624521072797
520.8069999999999,2153.0,1319.0,616.236,3344.0,32.0,0.188,83.9,1.959288,108.496,110.649,1.9351862517417553
823.098,3347.0,1319.0,1941.96,4540.0,32.0,2.024,83.9,2.028968,110.652,113.999,1.9673689871526738
43.108,257.0,1319.0,2974.777,4888.0,32.0,3.056,83.9,2.026776,114.0,114.257,1.3418832684824902
993.156,4016.0,1319.0,503.8,2552.0,32.0,0.204,83.9,2.026776,114.261,118.277,1.978398406374502
70.321,368.0,1319.0,3753.559,5704.0,32.0,3.84,83.9,2.029968,118.277,118.645,1.5287173913043477
391.008,1631.0,1319.0,332.308,2892.0,32.0,0.264,83.9,2.064976,118.647,120.278,1.9178810545677498
488.415,2032.0,1319.0,1498.957,3612.0,32.0,1.576,83.9,2.064976,120.279,122.311,1.9228937007874016
385.03100000000006,1885.0,1319.0,1739.6419999999998,3328.0,32.0,1.824,83.9,2.010768,122.312,124.197,1.6340838196286476
420.111,2042.0,1319.0,1595.233,2912.0,32.0,1.676,83.9,1.721304,124.198,126.24,1.6458805093046034
1126.582,4627.0,1319.0,1748.297,2920.0,32.0,1.836,83.9,1.7236079999999998,126.243,130.87,1.9478400691592828
49.26899999999999,280.0,1319.0,4193.914000000001,5472.0,32.0,4.28,83.9,2.007704,130.871,131.151,1.407685714285714
55.42,305.0,1319.0,530.98,3380.0,32.0,0.2,83.9,2.007704,131.151,131.456,1.453639344262295
1206.106,4757.0,1319.0,251.767,3104.0,32.0,0.384,83.9,2.007704,131.55,136.307,2.0283472776960267
66.711,342.0,1319.0,4553.693,6604.0,32.0,4.628,83.9,2.071872,136.307,136.649,1.5604912280701755
784.899,3157.0,1319.0,365.222,3452.0,32.0,0.224,83.9,2.13784,136.652,139.809,1.9889743427304403
40.853,250.0,1319.0,2962.977,5292.0,32.0,3.04,83.9,2.047232,139.809,140.059,1.307296
1000.48,3987.0,1319.0,541.8159999999999,2584.0,32.0,0.204,83.9,2.047232,140.062,144.049,2.007484324053173
47.978,273.0,1319.0,3725.549,5704.0,32.0,3.8,83.9,2.057936,144.049,144.322,1.405948717948718
790.6460000000001,3156.0,1319.0,535.374,3076.0,32.0,0.208,83.9,2.057936,144.324,147.48,2.00417237008872
48.06,275.0,1319.0,2924.86,5296.0,32.0,3.0,83.9,2.06664,147.481,147.756,1.398109090909091
942.004,3740.0,1319.0,459.735,2476.0,32.0,0.224,83.9,2.06664,147.76,151.5,2.0149818181818184
44.942,262.0,1319.0,3500.867,5380.0,32.0,3.58,83.9,2.072616,151.5,151.762,1.3722748091603054
1746.089,6826.0,1319.0,557.015,2948.0,32.0,0.204,83.9,2.072616,151.768,158.594,2.0463978904189863
19.054,157.0,1319.0,6465.093000000001,8736.0,32.0,6.556,83.9,2.0813680000000003,158.595,158.752,0.970904458598726
17.361,157.0,1319.0,2602.286,6344.0,32.0,0.128,83.9,2.0813680000000003,158.753,158.91,0.8846369426751592
320.345,1329.0,1319.0,1097.512,5440.0,32.0,0.14,83.9,2.0813680000000003,158.911,160.24,1.928337095560572
312.142,1292.0,1319.0,1119.952,5392.0,32.0,1.192,83.9,2.085968,160.241,161.533,1.9327678018575851
1193.435,4715.0,1319.0,1087.181,3780.0,32.0,1.42,83.9,2.088864,161.801,166.516,2.024916224814422
55.274,303.0,1319.0,4350.6,6148.0,32.0,4.436,83.9,2.069328,166.516,166.819,1.4593795379537955
1041.172,4131.0,1319.0,459.42,3412.0,32.0,0.212,83.9,2.0561040000000004,166.823,170.954,2.016309852335996
