size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,220.0,10.0,85.022,288.0,2147483647.0,0.092,84.75,0.133256,0.0,0.22,1.1048
20.288,141.0,32.0,95.657,296.0,2147483647.0,0.108,83.78099999999999,1.519208,0.22,0.361,1.1510921985815603
56.755,243.0,32.0,105.252,308.0,2147483647.0,0.124,83.78099999999999,1.519208,0.361,0.604,1.8684773662551442
55.635000000000005,228.0,72.0,133.803,336.0,2147483647.0,0.148,83.78099999999999,2.881408,0.605,0.833,1.952105263157895
44.464,198.0,78.0,161.594,364.0,2147483647.0,0.192,83.78099999999999,2.881408,0.833,1.031,1.7965252525252524
44.82,202.0,78.0,147.945,348.0,2147483647.0,0.172,83.78099999999999,2.881408,1.031,1.233,1.775049504950495
51.41499999999999,216.0,78.0,145.396,348.0,2147483647.0,0.18,83.78099999999999,2.881408,1.234,1.45,1.9042592592592589
53.125,220.0,78.0,156.28,360.0,2147483647.0,0.192,83.78099999999999,2.881408,1.451,1.671,1.9318181818181819
924.046,2380.0,78.0,157.238,360.0,2147483647.0,0.188,83.78099999999999,2.881408,1.675,4.055,3.106036974789916
1521.062,3780.0,194.0,642.424,844.0,170.0,0.652,83.78099999999999,3.261288,4.06,7.84,3.219178835978836
46.055,198.0,244.0,812.393,1052.0,170.0,0.824,83.78099999999999,3.2526079999999995,7.841,8.039,1.8608080808080807
879.41,2238.0,244.0,179.56900000000002,652.0,170.0,0.116,83.78099999999999,3.2526079999999995,8.043,10.281,3.143556747095621
881.81,2241.0,273.0,918.502,1304.0,170.0,0.92,83.78099999999999,3.2895280000000007,10.284,12.525,3.147916108879964
877.0450000000001,2212.0,313.0,1008.994,1420.0,170.0,1.012,83.78099999999999,3.273104,12.528,14.74,3.1719529837251357
884.322,2228.0,381.0,1139.218,1588.0,170.0,1.144,83.78099999999999,3.30164,14.744,16.972,3.1753034111310594
47.593,200.0,466.0,1362.188,1956.0,170.0,1.372,83.78099999999999,3.3016559999999995,16.972,17.172,1.90372
874.609,2193.0,466.0,226.92,1056.0,170.0,0.28,83.78099999999999,3.3016559999999995,17.323,19.516,3.190548107615139
1065.802,2650.0,553.0,1635.657,2404.0,170.0,1.636,83.78099999999999,3.3403840000000007,19.519,22.169,3.217515471698113
1118.415,2812.0,666.0,1930.843,2796.0,170.0,1.936,83.78099999999999,3.349008,22.172,24.984,3.1818349928876244
57.513,225.0,781.0,2344.1040000000003,3376.0,170.0,2.356,83.78099999999999,3.287704,24.985,25.21,2.0449066666666664
988.751,2501.0,781.0,254.354,1740.0,170.0,0.492,83.78099999999999,3.373728,25.573,28.074,3.1627381047580965
897.355,2252.0,781.0,2285.616,3464.0,170.0,2.344,83.78099999999999,3.293872,28.076,30.328,3.1877619893428064
856.956,2158.0,781.0,1896.078,3228.0,170.0,1.948,83.78099999999999,3.312048,30.331,32.489,3.1768526413345692
890.832,2326.0,781.0,1815.877,2860.0,170.0,1.868,83.78099999999999,3.3053520000000005,32.492,34.818,3.0639105760963026
641.414,1701.0,781.0,1982.076,2976.0,170.0,2.032,83.78099999999999,3.1809359999999995,34.821,36.522,3.016644326866549
