bandwidth,start_time_elapsed
1.303088,0.0
1.913728,5.0
1.723368,10.0
1.7564,15.0
2.655888,20.0
4.665672,25.0
4.513736,30.0
4.486832,35.0
4.515696,40.0
4.539392,45.0
4.473176,50.0
4.55188,55.0
4.725472,60.0
4.586368,65.0
4.796608,70.0
4.482272,75.0
4.4426,80.0
4.581832,85.0
4.445488,90.0
2.831016,95.0
4.567,100.0
4.540792,105.0
4.530552,110.0
4.564616,115.0
1.382144,120.0
1.477368,125.0
1.407144,130.0
1.50724,135.0
1.41876,140.0
1.435896,145.0
1.449712,150.0
1.458624,155.0
1.444656,160.0
1.41452,165.0
1.489912,170.0
1.475872,175.0
1.413008,180.0
1.390664,185.0
1.388648,190.0
1.502784,195.0
1.433632,200.0
1.480496,205.0
1.119592,210.0
1.470392,215.0
1.412976,220.0
1.453216,225.0
1.508184,230.0
1.51104,235.0
4.50112,240.0
4.547656,245.0
4.69972,250.0
4.584368,255.0
4.536208,260.0
4.569384,265.0
3.792544,270.0
4.548032,275.0
4.72568,280.0
4.448976,285.0
1.313856,290.0
