bandwidth,start_time_elapsed
2.548056,0.0
2.480064,5.0
1.890752,10.0
2.340168,15.0
2.394056,20.0
2.219576,25.0
2.692688,30.0
2.446856,35.0
2.614184,40.0
2.390936,45.0
2.79236,50.0
2.182464,55.0
2.005168,60.0
2.335232,65.0
2.547504,70.0
2.517968,75.0
2.495856,80.0
2.468888,85.0
2.12896,90.0
2.037224,95.0
2.315824,100.0
2.075896,105.0
2.2746,110.0
2.241528,115.0
2.39396,120.0
2.376392,125.0
2.247504,130.0
2.501288,135.0
2.157328,140.0
1.905336,145.0
2.653552,150.0
2.433072,155.0
2.288568,160.0
2.057608,165.0
2.132376,170.0
1.836392,175.0
1.983192,180.0
2.1354,185.0
2.207616,190.0
2.263352,195.0
2.205768,200.0
2.22176,205.0
2.41248,210.0
2.417536,215.0
2.444072,220.0
2.30344,225.0
2.622016,230.0
2.028152,235.0
2.152656,240.0
2.479264,245.0
2.147752,250.0
2.295,255.0
2.385472,260.0
2.40032,265.0
2.087672,270.0
2.511456,275.0
2.444088,280.0
2.386808,285.0
2.214712,290.0
