bandwidth,start_time_elapsed
4.179016,0.0
4.264392,5.0
4.231048,10.0
4.353488,15.0
4.442008,20.0
4.405536,25.0
3.856768,30.0
3.878544,35.0
3.840536,40.0
4.301776,45.0
4.271576,50.0
4.116056,55.0
4.047264,60.0
4.266848,65.0
4.099576,70.0
4.039832,75.0
3.55424,80.0
4.207128,85.0
4.024616,90.0
4.206416,95.0
3.90876,100.0
4.29652,105.0
3.975768,110.0
3.97884,115.0
4.040168,120.0
3.937232,125.0
4.365728,130.0
4.444416,135.0
4.126168,140.0
4.062944,145.0
4.127696,150.0
4.14804,155.0
4.02772,160.0
4.084448,165.0
4.000232,170.0
3.656856,175.0
4.13896,180.0
4.003576,185.0
4.268408,190.0
4.212736,195.0
4.169328,200.0
3.76692,205.0
4.095336,210.0
4.01956,215.0
4.049736,220.0
4.172024,225.0
4.215536,230.0
4.107504,235.0
3.83144,240.0
3.953448,245.0
3.96916,250.0
4.052112,255.0
4.169264,260.0
3.922592,265.0
4.0298,270.0
2.60724,275.0
3.970016,280.0
3.984024,285.0
4.138992,290.0
