bandwidth,start_time_elapsed
3.433008,0.0
3.617976,5.0
3.593904,10.0
3.663704,15.0
3.986112,20.0
3.568744,25.0
3.609272,30.0
3.596672,35.0
3.587224,40.0
3.60376,45.0
3.601016,50.0
3.491136,55.0
3.767064,60.0
3.948184,65.0
3.85012,70.0
3.581832,75.0
3.995328,80.0
3.90156,85.0
2.57344,90.0
3.566432,95.0
3.87124,100.0
3.585152,105.0
3.90952,110.0
3.692416,115.0
3.564376,120.0
3.61212,125.0
3.552264,130.0
3.994312,135.0
3.984272,140.0
3.566944,145.0
3.886352,150.0
3.632368,155.0
3.569664,160.0
3.559576,165.0
3.896704,170.0
3.98868,175.0
3.921512,180.0
4.019928,185.0
3.983496,190.0
3.636576,195.0
3.574248,200.0
3.565072,205.0
3.607056,210.0
3.912352,215.0
3.19676,220.0
3.535456,225.0
3.89188,230.0
3.883256,235.0
3.948216,240.0
3.544064,245.0
4.025256,250.0
3.580344,255.0
3.89176,260.0
3.679664,265.0
3.670264,270.0
3.883792,275.0
3.564528,280.0
3.54612,285.0
3.649832,290.0
