size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,220.0,10.0,90.35,292.0,2147483647.0,0.088,85.96900000000001,0.134744,0.0,0.22,1.1048
20.288,139.0,32.0,95.126,296.0,2147483647.0,0.112,84.677,1.519904,0.22,0.359,1.1676546762589928
56.755,258.0,32.0,105.012,308.0,2147483647.0,0.12,84.677,1.519904,0.36,0.618,1.7598449612403102
55.635000000000005,227.0,72.0,145.02399999999997,348.0,2147483647.0,0.16,84.677,2.572088,0.619,0.846,1.960704845814978
44.464,198.0,78.0,158.785,360.0,2147483647.0,0.192,84.677,2.572088,0.846,1.044,1.7965252525252524
44.82,201.0,78.0,145.067,348.0,2147483647.0,0.172,84.677,2.572088,1.045,1.246,1.7838805970149254
51.41499999999999,217.0,78.0,144.80599999999998,348.0,2147483647.0,0.176,84.677,2.572088,1.247,1.464,1.8954838709677417
53.125,220.0,78.0,153.597,356.0,2147483647.0,0.192,84.677,2.572088,1.464,1.684,1.9318181818181819
924.046,2146.0,78.0,155.444,356.0,2147483647.0,0.192,84.677,2.572088,1.688,3.834,3.4447194780987886
1521.062,3141.0,193.0,531.888,732.0,170.0,0.536,84.677,3.9462000000000006,3.839,6.98,3.8740834129258195
46.055,180.0,243.0,669.501,892.0,170.0,0.684,84.677,3.931544,6.98,7.16,2.0468888888888888
879.41,1939.0,243.0,161.555,548.0,170.0,0.272,84.48400000000001,3.931544,7.319,9.258,3.6283032490974727
881.81,1962.0,273.0,794.549,1120.0,170.0,0.8,84.48400000000001,3.799992,9.261,11.223,3.5955555555555554
877.0450000000001,2175.0,300.0,874.644,1220.0,170.0,0.976,84.48400000000001,3.760072,11.319,13.494,3.225912643678161
884.322,2713.0,331.0,1166.82,1556.0,170.0,1.188,84.48400000000001,3.043592,13.497,16.21,2.6076579432362696
895.396,2587.0,407.0,1463.017,2008.0,170.0,1.468,84.48400000000001,2.702872,16.212,18.799,2.7689091611905683
46.067,206.0,507.0,1626.1080000000002,2296.0,170.0,1.624,84.48400000000001,2.970144,18.8,19.006,1.789009708737864
1065.802,2857.0,507.0,271.402,1260.0,170.0,0.44,84.48400000000001,2.970144,19.32,22.177,2.9843948197409866
1118.415,2928.0,641.0,1935.374,2692.0,170.0,1.94,84.48400000000001,3.092928000000001,22.18,25.108,3.05577868852459
57.513,230.0,773.0,2345.466,3380.0,170.0,2.356,84.48400000000001,3.180384,25.109,25.339,2.000452173913043
988.751,2552.0,773.0,256.671,1716.0,170.0,0.132,84.48400000000001,3.226688,25.343,27.895,3.0995329153605016
897.355,1968.0,773.0,2343.11,3504.0,170.0,2.392,84.48400000000001,3.224032,27.899,29.867,3.6477845528455286
856.956,1885.0,773.0,1638.197,3024.0,170.0,1.684,84.48400000000001,3.827048,29.87,31.755,3.6369485411140583
890.832,1955.0,773.0,1573.304,2468.0,170.0,1.616,84.48400000000001,3.807176,31.758,33.713,3.645348337595908
641.414,1429.0,773.0,1640.388,2496.0,170.0,1.688,84.48400000000001,3.81224,33.716,35.145,3.5908411476557034
707.429,1573.0,773.0,1150.3159999999998,2264.0,170.0,1.364,84.48400000000001,3.811296,35.318,36.891,3.5978588684043227
828.091,2478.0,773.0,1295.4969999999998,2176.0,170.0,1.768,84.48400000000001,3.812704,37.319,39.797,2.6734172719935434
1068.161,3535.0,773.0,2160.611,3048.0,170.0,2.224,84.48400000000001,2.702384,39.801,43.336,2.4173374823196605
62.352,361.0,773.0,3067.986,4308.0,170.0,3.16,84.48400000000001,2.482008,43.336,43.697,1.3817617728531855
1023.238,4317.0,773.0,329.493,2468.0,170.0,0.236,84.48400000000001,1.8591200000000003,43.7,48.017,1.8962019921241604
51.377,231.0,773.0,4035.928,5672.0,170.0,4.116,84.48400000000001,1.96092,48.018,48.249,1.7792900432900434
708.868,1633.0,773.0,399.718,3084.0,170.0,0.096,84.48400000000001,2.85424,48.251,49.884,3.472715248009798
828.4599999999999,1894.0,773.0,1428.6270000000002,3832.0,170.0,1.472,84.48400000000001,3.678288,49.886,51.78,3.499303062302006
1373.604,3919.0,773.0,1585.545,3248.0,170.0,1.632,84.48400000000001,3.688568,51.784,55.703,2.8039887726460835
46.483,238.0,1211.0,3346.896,4368.0,170.0,3.38,84.48400000000001,2.765672,55.703,55.941,1.562453781512605
1012.395,4279.0,1211.0,471.948,2652.0,170.0,0.176,84.48400000000001,2.765672,55.945,60.224,1.892769338630521
44.901,332.0,1211.0,3997.297,6044.0,170.0,4.104,84.48400000000001,1.920352,60.224,60.556,1.0819518072289158
1122.816,4733.0,1211.0,652.6110000000001,3448.0,170.0,0.264,84.48400000000001,1.920352,60.56,65.293,1.8978508345658145
50.07900000000001,260.0,1211.0,4416.404,7072.0,170.0,4.484,84.48400000000001,1.957192,65.294,65.554,1.540892307692308
58.996,290.0,1211.0,526.817,3504.0,170.0,0.168,84.48400000000001,1.957192,65.555,65.845,1.6274758620689656
1093.249,3423.0,1211.0,242.889,3220.0,170.0,0.28,84.48400000000001,1.957192,65.849,69.272,2.555066316096991
56.11,237.0,1211.0,3243.95,5372.0,170.0,3.304,84.48400000000001,2.62572,69.272,69.509,1.8940084388185654
918.875,2563.0,1211.0,349.96500000000003,2536.0,170.0,0.164,84.48400000000001,2.62572,69.512,72.075,2.868123293015997
918.725,2682.0,1211.0,2370.366,4308.0,170.0,2.428,84.48400000000001,2.974816,72.077,74.759,2.7404175988068604
954.841,2821.0,1211.0,2335.5800000000004,3948.0,170.0,2.396,84.48400000000001,2.831616,74.762,77.583,2.707808578518256
43.436,182.0,1211.0,2471.828,4064.0,170.0,2.528,84.48400000000001,2.796096,77.584,77.766,1.9092747252747253
978.867,2085.0,1211.0,400.184,2084.0,170.0,0.14,84.48400000000001,2.796096,77.769,79.854,3.7558446043165468
835.5480000000001,1792.0,1211.0,1892.996,3496.0,170.0,1.936,84.48400000000001,3.921848,79.857,81.649,3.7301250000000006
877.668,2818.0,1211.0,1516.6519999999998,2812.0,170.0,1.56,84.48400000000001,3.919088,81.652,84.47,2.4916053938963802
1023.782,3852.0,1211.0,2508.989,3560.0,170.0,2.592,84.48400000000001,2.5078,84.474,88.326,2.1262346832814125
53.35000000000001,196.0,1211.0,3431.072,5188.0,170.0,3.48,84.48400000000001,2.214464,88.327,88.523,2.1775510204081634
1847.26,3893.0,1211.0,366.822,2640.0,170.0,0.12,84.48400000000001,2.268048,88.529,92.422,3.7960647315694835
46.229,180.0,1829.0,3600.681,5652.0,170.0,3.632,84.48400000000001,3.901144,92.423,92.603,2.054622222222222
924.27,2285.0,1829.0,477.962,2808.0,170.0,0.132,84.48400000000001,3.901144,92.606,94.891,3.235956236323851
43.03,189.0,1829.0,2107.227,4296.0,170.0,2.16,84.48400000000001,3.377888,94.892,95.081,1.8213756613756613
945.076,2366.0,1829.0,373.064,2128.0,170.0,0.648,84.48400000000001,3.377888,95.569,97.935,3.1955232459847847
980.584,2729.0,1829.0,2199.028,3740.0,170.0,2.26,84.48400000000001,3.332264,97.938,100.667,2.874559179186515
769.509,2162.0,1829.0,2431.92,3924.0,170.0,2.484,84.48400000000001,2.970176,100.67,102.832,2.8473968547641073
764.762,2104.0,1829.0,1871.582,3516.0,170.0,1.928,84.48400000000001,2.982832,102.834,104.938,2.907840304182509
59.26200000000001,243.0,1829.0,1839.815,3168.0,170.0,1.892,84.48400000000001,3.032264,104.939,105.182,1.9510123456790125
791.195,2177.0,1829.0,275.047,1528.0,170.0,0.596,84.48400000000001,3.032264,105.569,107.746,2.9074689940284797
520.8069999999999,1449.0,1829.0,2050.13,3304.0,170.0,2.112,84.48400000000001,3.032264,107.747,109.196,2.8754009661835744
823.098,2236.0,1829.0,1212.836,2608.0,170.0,1.632,84.48400000000001,3.057168,109.568,111.804,2.944894454382826
864.062,2220.0,1829.0,1990.889,3052.0,170.0,2.048,84.48400000000001,3.074832,111.806,114.026,3.1137369369369368
993.156,2462.0,1829.0,1941.156,3292.0,170.0,1.992,84.48400000000001,3.268768,114.028,116.49,3.227151909017059
1243.918,2882.0,1829.0,2181.9350000000004,3488.0,170.0,2.232,84.48400000000001,3.350032,116.494,119.376,3.452929909784871
21.01,133.0,1829.0,2574.2090000000003,4044.0,170.0,2.624,84.48400000000001,3.588344,119.377,119.51,1.2637593984962407
488.415,1143.0,1829.0,954.645,2520.0,170.0,0.12,84.48400000000001,3.588344,119.512,120.655,3.418477690288714
385.03100000000006,918.0,1829.0,971.828,2696.0,170.0,1.928,84.48400000000001,3.724976,121.568,122.486,3.355389978213508
420.111,1101.0,1829.0,764.751,1956.0,170.0,1.888,84.48400000000001,3.71712,123.567,124.668,3.052577656675749
1126.582,2726.0,1829.0,956.508,1808.0,170.0,1.9,84.48400000000001,3.335584,125.569,128.295,3.3061834189288337
902.83,1992.0,1829.0,2481.467,3180.0,170.0,2.532,84.48400000000001,3.432592,128.298,130.29,3.625823293172691
898.686,1985.0,1829.0,1720.718,3372.0,170.0,1.764,84.48400000000001,3.7974960000000006,130.293,132.278,3.6219083123425695
1206.106,2539.0,1829.0,1730.502,3024.0,170.0,1.78,84.48400000000001,3.81628,132.282,134.821,3.8002552185899963
1309.328,2726.0,1829.0,2263.303,3424.0,170.0,2.312,84.48400000000001,3.952152,134.825,137.551,3.842488628026412
39.013,174.0,1829.0,2438.36,3948.0,170.0,2.484,84.48400000000001,3.967328,137.551,137.725,1.7937011494252872
798.5160000000001,2116.0,1829.0,481.259,2104.0,170.0,0.152,84.48400000000001,3.967328,137.728,139.844,3.0189640831758036
1000.48,2621.0,1829.0,1943.835,3544.0,170.0,2.004,84.48400000000001,3.168048,139.847,142.468,3.0537352155665776
933.091,2463.0,1829.0,2337.856,3660.0,170.0,2.392,84.48400000000001,3.1585760000000005,142.471,144.934,3.030746244417377
39.399,185.0,1829.0,2178.561,3756.0,170.0,2.228,84.48400000000001,3.14352,144.935,145.12,1.7037405405405406
869.187,2335.0,1829.0,452.165,1920.0,170.0,0.608,84.48400000000001,3.14352,145.569,147.904,2.9779426124197004
942.004,2915.0,1829.0,2158.649,3608.0,170.0,2.22,84.48400000000001,3.0931520000000003,147.908,150.823,2.585259691252144
878.19,2571.0,1829.0,2600.532,4076.0,170.0,2.664,84.48400000000001,2.668288,150.826,153.397,2.7326021003500585
109.92600000000002,355.0,1829.0,2258.3340000000003,4028.0,170.0,2.312,84.48400000000001,2.851672,153.397,153.752,2.4772056338028174
431.979,1144.0,1829.0,256.817,1772.0,170.0,0.284,84.48400000000001,2.851672,153.753,154.897,3.0208321678321677
395.358,1053.0,1829.0,1060.32,2576.0,170.0,1.78,84.48400000000001,3.051432,155.567,156.62,3.003669515669516
320.345,915.0,1829.0,888.439,1992.0,170.0,1.88,84.48400000000001,3.2782080000000007,157.567,158.482,2.8008306010928963
312.142,894.0,1829.0,778.061,1680.0,170.0,1.912,84.48400000000001,3.2782080000000007,159.567,160.461,2.7932170022371365
1193.435,2916.0,1829.0,772.102,1604.0,170.0,1.924,84.48400000000001,3.2782080000000007,161.57,164.486,3.2741700960219475
1212.243,2826.0,1829.0,2676.3720000000003,3388.0,170.0,2.732,84.48400000000001,3.398944,164.489,167.315,3.431685774946921
44.393,188.0,1829.0,2518.147,4308.0,170.0,2.568,84.48400000000001,3.53956,167.315,167.503,1.889063829787234
1143.108,2765.0,1829.0,414.127,2100.0,170.0,0.156,84.48400000000001,3.53956,167.507,170.272,3.307364918625678
819.212,2006.0,1829.0,2582.219,4188.0,170.0,2.64,84.48400000000001,3.424976,170.274,172.28,3.267046859421735
1647.456,3865.0,1829.0,1725.523,3456.0,170.0,1.78,84.48400000000001,3.427808,172.285,176.15,3.4099994825355755
85.524,282.0,1829.0,3538.8860000000004,4880.0,170.0,3.596,84.48400000000001,3.5062,176.15,176.432,2.426212765957447
2039.452,5265.0,1829.0,228.481,2576.0,170.0,0.196,84.48400000000001,3.5062,176.435,181.7,3.098882431149098
90.572,323.0,1829.0,5069.565,6928.0,170.0,5.136,84.48400000000001,3.1528,181.701,182.024,2.2432693498452014
84.907,305.0,1829.0,236.406,3608.0,170.0,0.196,84.48400000000001,3.142536,182.025,182.33,2.2270688524590163
1917.8930000000005,4827.0,1829.0,255.831,3132.0,170.0,0.3,84.48400000000001,3.142536,182.336,187.163,3.178608659622955
61.374,238.0,1829.0,4627.285,6388.0,170.0,4.688,84.48400000000001,3.25124,187.164,187.402,2.0629915966386556
69.999,258.0,1829.0,372.7,3444.0,170.0,0.16,84.48400000000001,3.25124,187.403,187.661,2.1705116279069765
772.223,2120.0,1829.0,216.805,3288.0,170.0,0.252,84.48400000000001,3.25124,187.664,189.784,2.9140490566037736
837.226,2299.0,1829.0,2017.227,4656.0,170.0,2.072,84.48400000000001,3.25124,189.787,192.086,2.9133571117877337
725.78,1781.0,1829.0,2014.997,3932.0,170.0,2.072,84.48400000000001,3.045576,192.088,193.869,3.260101066816395
933.533,2157.0,1829.0,1524.713,3032.0,170.0,1.568,84.48400000000001,3.46496,193.872,196.029,3.4623384330088087
988.997,2379.0,1829.0,1908.71,3080.0,170.0,1.96,84.48400000000001,3.602648,196.032,198.411,3.3257570407734343
673.93,1809.0,1829.0,2101.8340000000003,3388.0,170.0,2.156,84.48400000000001,3.443896,198.413,200.222,2.980342730790492
794.728,2114.0,1829.0,1550.2240000000002,2976.0,170.0,1.604,84.48400000000001,3.136936,200.224,202.338,3.0074853358561966
694.589,1743.0,1829.0,1868.941,3012.0,170.0,1.916,84.48400000000001,3.132904,202.34,204.083,3.1880160642570283
914.857,2234.0,1829.0,1487.136,2752.0,170.0,1.54,84.48400000000001,3.384408,204.086,206.32,3.2761217547000894
1103.549,2840.0,1829.0,1979.496,3016.0,170.0,2.032,84.48400000000001,3.410088,206.324,209.164,3.108588732394366
55.676,237.0,1829.0,2543.767,3884.0,170.0,2.608,84.48400000000001,3.202416,209.165,209.402,1.8793586497890296
1427.281,3818.0,1829.0,326.731,2044.0,170.0,0.364,84.48400000000001,3.202416,209.571,213.389,2.990635935044526
46.19,202.0,1829.0,3626.388,5152.0,170.0,3.692,84.48400000000001,3.07412,213.39,213.592,1.8293069306930692
1143.801,2944.0,1829.0,495.101,2908.0,170.0,0.16,84.48400000000001,3.07412,213.596,216.54,3.1081548913043475
864.781,2225.0,1829.0,2744.567,5004.0,170.0,2.8,84.48400000000001,3.205784,216.543,218.768,3.1093249438202246
824.404,2103.0,1829.0,1932.315,3776.0,170.0,1.988,84.48400000000001,3.2345039999999994,218.771,220.874,3.1361065145030906
783.9990000000001,2001.0,1829.0,1844.485,3292.0,170.0,1.888,84.48400000000001,3.270304,220.877,222.878,3.134428785607197
826.519,2012.0,1829.0,1740.098,2984.0,170.0,1.792,84.48400000000001,3.295504,222.881,224.893,3.2863578528827038
838.8770000000001,2040.0,1829.0,1756.398,2928.0,170.0,1.808,84.48400000000001,3.443792,224.896,226.936,3.2897137254901962
