bandwidth,start_time_elapsed
3.043088,0.0
3.884208,5.0
3.886088,10.0
2.541312,15.0
1.877152,20.0
3.630224,25.0
2.488624,30.0
2.848376,35.0
3.163944,40.0
2.63052,45.0
3.14932,50.0
2.147936,55.0
2.586896,60.0
3.639144,65.0
2.648608,70.0
2.840136,75.0
2.402136,80.0
3.06908,85.0
3.6028,90.0
2.957256,95.0
2.48284,100.0
3.119048,105.0
3.610752,110.0
2.272008,115.0
3.498272,120.0
3.197144,125.0
2.710168,130.0
3.096608,135.0
3.697872,140.0
3.578512,145.0
3.027808,150.0
3.851112,155.0
3.242992,160.0
3.0286,165.0
3.787024,170.0
3.15268,175.0
1.53012,180.0
3.096456,185.0
3.299776,190.0
3.050096,195.0
3.690312,200.0
3.220616,205.0
3.718456,210.0
3.89064,215.0
2.991152,220.0
3.48028,225.0
3.50668,230.0
3.511776,235.0
3.09636,240.0
3.063072,245.0
3.797768,250.0
2.906624,255.0
3.12076,260.0
3.750544,265.0
3.71868,270.0
3.72904,275.0
3.064336,280.0
3.26384,285.0
3.654176,290.0
