size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,224.0,10.0,84.45400000000001,288.0,2147483647.0,0.088,83.482,0.13876,0.0,0.224,1.0850714285714287
20.288,146.0,32.0,97.211,300.0,2147483647.0,0.112,83.482,1.5278,0.225,0.371,1.1116712328767124
56.755,249.0,32.0,108.447,312.0,2147483647.0,0.132,83.482,1.5278,0.372,0.621,1.8234538152610442
55.635000000000005,241.0,72.0,140.697,344.0,2147483647.0,0.152,83.482,2.789584,0.621,0.862,1.8468049792531123
44.464,208.0,78.0,168.755,372.0,2147483647.0,0.204,83.482,2.789584,0.862,1.07,1.7101538461538461
44.82,212.0,78.0,154.18699999999998,356.0,2147483647.0,0.18,83.482,2.789584,1.071,1.283,1.691320754716981
51.41499999999999,233.0,78.0,151.077,352.0,2147483647.0,0.188,83.482,2.789584,1.284,1.517,1.765321888412017
53.125,236.0,78.0,163.249,364.0,2147483647.0,0.204,83.482,2.789584,1.518,1.754,1.8008474576271187
924.046,2157.0,78.0,166.806,368.0,2147483647.0,0.204,83.482,2.789584,1.757,3.914,3.4271525266573946
1521.062,2987.0,186.0,484.315,688.0,171.0,0.492,83.482,4.142544,3.92,6.907,4.073818547037161
46.055,173.0,236.0,618.072,836.0,171.0,0.632,83.482,4.128608,6.908,7.081,2.1297109826589593
879.41,1751.0,236.0,155.453,508.0,171.0,0.352,83.482,4.128608,7.328,9.079,4.017864077669903
881.81,1748.0,266.0,685.817,988.0,171.0,0.94,83.482,4.273304,9.328,11.076,4.035743707093821
877.0450000000001,1736.0,293.0,756.251,1064.0,171.0,1.012,83.482,4.233696,11.328,13.064,4.04168202764977
884.322,1741.0,320.0,829.499,1164.0,171.0,1.092,83.482,4.239136,13.328,15.069,4.063512923607123
895.396,1764.0,348.0,894.023,1252.0,171.0,1.16,83.482,4.278352,15.328,17.092,4.06075283446712
874.609,2216.0,377.0,964.922,1348.0,171.0,1.22,83.482,4.244824,17.334,19.55,3.15743321299639
1065.802,2849.0,439.0,1438.612,1928.0,171.0,1.444,83.482,3.099248,19.553,22.402,2.9927750087750087
1118.415,2551.0,559.0,1686.093,2324.0,171.0,1.692,83.482,3.083912,22.405,24.956,3.507377499019992
57.513,210.0,566.0,1761.352,2652.0,171.0,1.772,83.482,3.698616,24.957,25.167,2.1909714285714283
988.751,2223.0,566.0,206.607,1292.0,171.0,0.272,83.482,3.879856,25.328,27.551,3.5582582096266306
897.355,2283.0,730.0,1790.7,2656.0,171.0,1.804,83.482,3.715416,27.554,29.837,3.1444765659220324
