bandwidth,start_time_elapsed
2.583752,0.0
2.607256,5.0
2.572504,10.0
2.302376,15.0
2.604832,20.0
2.560896,25.0
2.571568,30.0
2.618528,35.0
2.615544,40.0
2.185848,45.0
2.610704,50.0
2.5668,55.0
2.233496,60.0
2.538832,65.0
2.589632,70.0
2.599968,75.0
2.577688,80.0
2.590176,85.0
2.064472,90.0
2.557912,95.0
2.58372,100.0
2.573584,105.0
2.611488,110.0
2.342296,115.0
2.298408,120.0
2.515384,125.0
2.645256,130.0
2.635912,135.0
2.294128,140.0
2.572488,145.0
2.336448,150.0
2.316664,155.0
2.630032,160.0
2.599592,165.0
2.2928,170.0
2.570424,175.0
2.604768,180.0
2.574896,185.0
2.3076,190.0
2.333,195.0
2.630816,200.0
2.304704,205.0
2.323728,210.0
2.352272,215.0
1.797224,220.0
2.585728,225.0
2.622216,230.0
2.539576,235.0
2.456016,240.0
2.57188,245.0
2.614952,250.0
2.567432,255.0
2.5882,260.0
2.583904,265.0
2.555048,270.0
2.585032,275.0
2.579592,280.0
2.580368,285.0
2.56224,290.0
