size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,246.0,10.0,83.063,284.0,2147483647.0,0.088,82.783,0.13624,0.0,0.246,0.9880325203252033
20.288,144.0,32.0,103.501,304.0,2147483647.0,0.12,82.783,1.316008,0.247,0.391,1.1271111111111112
56.755,251.0,32.0,109.573,312.0,2147483647.0,0.128,82.783,1.316008,0.391,0.642,1.8089243027888446
55.635000000000005,238.0,72.0,139.343,340.0,2147483647.0,0.152,82.783,2.785024,0.642,0.88,1.8700840336134454
44.464,207.0,78.0,167.268,368.0,2147483647.0,0.204,82.783,2.785024,0.881,1.088,1.718415458937198
44.82,211.0,78.0,152.07000000000002,356.0,2147483647.0,0.18,82.783,2.785024,1.088,1.299,1.6993364928909953
51.41499999999999,224.0,78.0,152.921,356.0,2147483647.0,0.188,82.783,2.785024,1.299,1.523,1.8362499999999997
53.125,229.0,78.0,160.528,364.0,2147483647.0,0.196,82.783,2.785024,1.524,1.753,1.8558951965065502
924.046,3441.0,78.0,161.579,364.0,2147483647.0,0.196,82.783,2.785024,1.756,5.197,2.148319674513223
95.183,472.0,194.0,1062.385,1288.0,171.0,1.068,82.783,1.997256,5.197,5.669,1.6132711864406781
901.053,3113.0,194.0,226.13,852.0,171.0,0.264,82.783,2.027048,5.672,8.785,2.3155875361387728
45.925,213.0,225.0,781.376,1196.0,171.0,0.796,82.783,2.364832,8.786,8.999,1.724882629107981
881.81,2474.0,225.0,183.84,628.0,171.0,0.456,82.783,2.364832,9.329,11.803,2.8514470493128536
877.0450000000001,2648.0,264.0,944.847,1272.0,171.0,0.948,82.783,2.955736,11.805,14.453,2.6496827794561937
884.322,2743.0,342.0,1228.555,1668.0,171.0,1.236,82.783,2.673424,14.456,17.199,2.579138169886985
47.593,233.0,450.0,1552.694,2112.0,171.0,1.564,82.783,2.67884,17.2,17.433,1.6340944206008585
874.609,2462.0,450.0,256.237,1208.0,171.0,0.152,82.783,2.67884,17.436,19.898,2.8419463850528026
1065.802,3003.0,551.0,1779.667,2664.0,171.0,1.788,82.783,2.970208,19.901,22.904,2.839299367299367
55.761,254.0,678.0,2194.765,3152.0,171.0,2.204,82.783,2.91896,22.904,23.158,1.756251968503937
1049.17,3207.0,678.0,277.794,1648.0,171.0,0.332,82.783,2.91896,23.329,26.536,2.6171998752728407
988.751,2800.0,822.0,2898.559,4124.0,171.0,2.92,82.783,2.694944,26.539,29.339,2.825002857142857
48.163,213.0,822.0,2381.098,4092.0,171.0,2.44,82.783,2.949112,29.34,29.553,1.8089389671361502
856.956,2343.0,822.0,354.57899999999995,1976.0,171.0,0.144,82.783,2.949112,29.556,31.899,2.926012804097311
890.832,4829.0,822.0,2126.632,3636.0,171.0,2.176,82.783,3.03924,31.902,36.731,1.4758036860633672
31.812,290.0,822.0,4395.664,5620.0,171.0,4.52,82.783,1.42964,36.733,37.023,0.8775724137931035
36.912,313.0,822.0,1016.405,4108.0,171.0,0.212,82.783,1.42964,37.024,37.337,0.9434376996805112
828.091,2660.0,822.0,366.394,3476.0,171.0,0.292,82.783,1.42964,37.34,40.0,2.490499248120301
1068.161,3498.0,822.0,2411.08,4960.0,171.0,2.472,82.783,2.636008,40.003,43.501,2.442906803887936
62.352,325.0,822.0,3053.806,4656.0,171.0,3.128,82.783,2.499496,43.501,43.826,1.5348184615384615
1023.238,3917.0,822.0,323.244,2428.0,171.0,0.212,82.783,2.168056,43.829,47.746,2.0898401838141436
51.377,235.0,822.0,3656.727,5300.0,171.0,3.724,82.783,2.152536,47.747,47.982,1.749004255319149
708.868,2107.0,822.0,384.675,2860.0,171.0,0.116,82.783,2.848504,47.984,50.091,2.691477930707167
828.4599999999999,2445.0,822.0,1892.401,4052.0,171.0,1.952,82.783,2.81124,50.094,52.539,2.7107075664621676
1373.604,4027.0,822.0,2082.4790000000003,3368.0,171.0,2.14,82.783,2.820672,52.544,56.571,2.7287886764340703
46.483,218.0,1260.0,3452.063,4604.0,171.0,3.484,82.783,2.795056,56.572,56.79,1.7057981651376146
1012.395,2980.0,1260.0,476.073,2700.0,171.0,0.156,82.783,2.795056,56.794,59.774,2.7178389261744966
44.901,213.0,1260.0,2749.1690000000003,4844.0,171.0,2.812,82.783,2.81328,59.775,59.988,1.6864225352112678
1122.816,3268.0,1260.0,447.048,2308.0,171.0,0.168,82.783,2.81328,59.992,63.26,2.7486315789473683
50.07900000000001,228.0,1260.0,3030.172,4800.0,171.0,3.096,82.783,2.839808,63.26,63.488,1.7571578947368425
983.154,2791.0,1260.0,401.448,2440.0,171.0,0.168,82.783,2.839808,63.491,66.282,2.81806950913651
1093.249,3305.0,1260.0,2583.968,4460.0,171.0,2.644,82.783,2.919816,66.285,69.59,2.646291074130106
56.11,264.0,1260.0,2936.352,4688.0,171.0,3.0,82.783,2.707792,69.591,69.855,1.7003030303030302
918.875,3010.0,1260.0,353.097,2348.0,171.0,0.2,82.783,2.707792,69.858,72.868,2.4421926910299003
918.725,4363.0,1260.0,2793.622,4560.0,171.0,2.876,82.783,2.51984,72.871,77.234,1.6845748338299336
54.23,346.0,1260.0,3891.038,5840.0,171.0,3.984,82.783,1.725136,77.234,77.58,1.2538728323699422
43.436,217.0,1260.0,462.844,3136.0,171.0,0.252,82.783,1.752616,77.58,77.797,1.6013271889400922
978.867,3041.0,1260.0,208.036,2596.0,171.0,0.208,82.783,1.752616,77.801,80.842,2.575118710950345
835.5480000000001,2582.0,1260.0,2887.367,4572.0,171.0,2.952,82.783,2.652024,80.845,83.427,2.5888396591789316
45.177,218.0,1260.0,2231.195,4196.0,171.0,2.284,82.783,2.683328,83.428,83.646,1.6578715596330276
1023.782,3072.0,1260.0,394.487,1996.0,171.0,0.184,82.783,2.683328,83.649,86.721,2.6660989583333334
1008.432,6027.0,1260.0,2854.018,4344.0,171.0,2.916,82.783,2.758504,86.725,92.752,1.3385525136884022
122.006,441.0,1260.0,5653.991999999999,7272.0,171.0,5.72,82.783,1.307072,92.752,93.193,2.2132607709750567
46.229,220.0,1260.0,225.325,4016.0,171.0,0.248,82.783,2.820248,93.193,93.413,1.6810545454545454
43.268,209.0,1260.0,181.185,3844.0,171.0,0.216,82.783,2.820248,93.414,93.623,1.6561913875598087
922.77,2742.0,1260.0,171.19899999999998,2972.0,171.0,0.208,82.783,2.820248,93.626,96.368,2.692253829321663
945.076,2724.0,1260.0,2610.2180000000003,4760.0,171.0,2.672,82.783,2.820248,96.372,99.096,2.775553597650514
49.804,225.0,1260.0,2370.5440000000003,4152.0,171.0,2.428,82.783,2.87052,99.097,99.322,1.7708088888888889
769.509,2195.0,1260.0,349.79900000000004,1960.0,171.0,0.432,82.783,2.87052,99.579,101.774,2.80458861047836
764.762,2205.0,1260.0,2016.487,3496.0,171.0,2.08,82.783,2.936712,101.776,103.981,2.77464671201814
1021.631,2920.0,1260.0,1889.697,3268.0,171.0,1.948,82.783,2.898328,103.985,106.905,2.7989890410958904
791.195,2332.0,1260.0,2585.714,3884.0,171.0,2.64,82.783,2.88368,106.908,109.24,2.714219554030875
26.203,163.0,1260.0,2005.234,3756.0,171.0,2.06,82.783,2.811696,109.241,109.404,1.286036809815951
823.098,2442.0,1260.0,617.597,2052.0,171.0,0.316,82.783,2.811696,109.579,112.021,2.6964717444717445
864.062,2543.0,1260.0,2213.715,3628.0,171.0,2.268,82.783,2.802512,112.024,114.567,2.718244593000393
993.156,2905.0,1260.0,2207.764,3720.0,171.0,2.272,82.783,2.829376,114.57,117.475,2.7350251290877794
70.321,286.0,1260.0,2557.789,4064.0,171.0,2.62,82.783,2.818488,117.476,117.762,1.967020979020979
391.008,1163.0,1260.0,262.823,2000.0,171.0,0.216,82.783,2.818488,117.763,118.926,2.689650902837489
488.415,1426.0,1260.0,1065.468,2804.0,171.0,1.768,82.783,2.818488,119.578,121.004,2.7400561009817674
385.03100000000006,1149.0,1260.0,1201.997,2468.0,171.0,1.832,82.783,2.92428,121.577,122.726,2.680807658833769
420.111,1266.0,1260.0,936.132,1928.0,171.0,1.84,82.783,2.917696,123.577,124.843,2.654729857819905
1126.582,3237.0,1260.0,1069.1139999999998,1856.0,171.0,1.852,82.783,2.856072,125.579,128.816,2.7842619709607663
902.83,2594.0,1260.0,2924.438,3676.0,171.0,2.988,82.783,2.871776,128.819,131.413,2.7843639167309178
55.42,241.0,1260.0,2241.323,4216.0,171.0,2.296,82.783,2.883832,131.414,131.655,1.839668049792531
1206.106,5698.0,1260.0,302.973,1912.0,171.0,0.192,82.783,2.883832,131.659,137.357,1.6933745173745174
66.711,343.0,1260.0,5431.469,6832.0,171.0,5.552,82.783,1.714912,137.358,137.701,1.555941690962099
39.013,204.0,1260.0,391.428,4124.0,171.0,0.196,82.783,2.293424,137.702,137.906,1.529921568627451
798.5160000000001,2433.0,1260.0,194.886,3652.0,171.0,0.2,82.783,2.293424,137.908,140.341,2.625617755856967
1000.48,3008.0,1260.0,2306.044,5232.0,171.0,2.36,82.783,2.645768,140.345,143.353,2.6608510638297873
47.978,222.0,1260.0,2655.885,4792.0,171.0,2.708,82.783,2.74448,143.354,143.576,1.728936936936937
790.6460000000001,2357.0,1260.0,403.536,2200.0,171.0,0.172,82.783,2.74448,143.579,145.936,2.683567246499788
869.187,2742.0,1260.0,2164.297,3840.0,171.0,2.224,82.783,2.80324,145.939,148.681,2.5359212253829324
942.004,3249.0,1260.0,2406.107,3888.0,171.0,2.468,82.783,2.60732,148.684,151.933,2.3194927670052325
44.942,236.0,1260.0,2867.3920000000003,4520.0,171.0,2.936,82.783,2.383688,151.934,152.17,1.523457627118644
1746.089,5110.0,1260.0,473.47,2436.0,171.0,0.188,82.783,2.383688,152.176,157.286,2.73360313111546
19.054,143.0,1260.0,4777.019,6644.0,171.0,4.868,82.783,2.819496,157.286,157.429,1.065958041958042
17.361,135.0,1260.0,1935.399,4676.0,171.0,0.116,82.783,2.819496,157.429,157.564,1.0288
320.345,1080.0,1260.0,826.945,4016.0,171.0,0.124,82.783,2.819496,157.565,158.645,2.372925925925926
312.142,1050.0,1260.0,907.806,4044.0,171.0,1.896,82.783,2.601344,159.577,160.627,2.378224761904762
1193.435,3537.0,1260.0,872.56,2868.0,171.0,1.876,82.783,2.612192,161.58,165.117,2.6993158043539722
55.274,243.0,1260.0,3230.032,4576.0,171.0,3.288,82.783,2.78456,165.118,165.361,1.8197201646090535
1041.172,3096.0,1260.0,359.184,2532.0,171.0,0.388,82.783,2.78456,165.58,168.676,2.6903669250645996
1143.108,3500.0,1260.0,2882.688,4812.0,171.0,2.952,82.783,2.780016,168.68,172.18,2.6128182857142854
44.115,226.0,1260.0,3104.767,4644.0,171.0,3.168,82.783,2.67888,172.181,172.407,1.5615929203539824
1647.456,5054.0,1260.0,489.61,2592.0,171.0,0.176,82.783,2.67888,172.411,177.465,2.6077657301147603
85.524,328.0,1260.0,4755.281,6760.0,171.0,4.82,82.783,2.656584,177.465,177.793,2.085951219512195
78.419,307.0,1260.0,226.223,3416.0,171.0,0.18,82.783,2.905312,177.794,178.101,2.0434918566775244
2260.662,6459.0,1260.0,249.095,3216.0,171.0,0.3,82.783,2.905312,178.107,184.566,2.8000148629818855
84.907,332.0,2032.0,5496.268,7316.0,171.0,5.524,82.783,2.838008,184.567,184.899,2.045951807228916
96.60399999999998,361.0,2032.0,277.6,3824.0,171.0,0.212,82.783,2.805176,184.899,185.26,2.1408088642659275
61.374,258.0,2032.0,297.737,3280.0,171.0,0.356,82.783,2.805176,185.26,185.518,1.9030697674418606
1025.211,2984.0,2032.0,216.661,2612.0,171.0,0.256,82.783,2.805176,185.521,188.505,2.748554959785523
772.223,2220.0,2032.0,2866.683,4736.0,171.0,2.92,82.783,2.805176,188.508,190.728,2.7827855855855854
837.226,2404.0,2032.0,1926.397,3860.0,171.0,1.984,82.783,2.906416,190.731,193.135,2.786109816971714
57.587,245.0,2032.0,2133.957,3636.0,171.0,2.192,82.783,2.892664,193.136,193.381,1.880391836734694
933.533,2669.0,2032.0,296.106,1748.0,171.0,0.408,82.783,2.892664,193.579,196.248,2.798150618209067
988.997,2853.0,2032.0,2530.328,3980.0,171.0,2.592,82.783,2.892664,196.252,199.105,2.7732127584998247
34.441,182.0,2032.0,2545.11,4256.0,171.0,2.604,82.783,2.859504,199.106,199.288,1.51389010989011
794.728,2326.0,2032.0,561.755,2284.0,171.0,0.448,82.783,2.859504,199.579,201.905,2.7333723129836627
694.589,2030.0,2032.0,2146.446,3868.0,171.0,2.208,82.783,2.85156,201.907,203.937,2.737296551724138
