bandwidth,start_time_elapsed
3.311704,0.0
3.174528,5.0
3.595432,10.0
3.415232,15.0
3.367624,20.0
2.688352,25.0
3.125064,30.0
3.333528,35.0
2.995376,40.0
2.734944,45.0
3.361504,50.0
3.240776,55.0
3.679808,60.0
3.399032,65.0
3.187016,70.0
3.002504,75.0
3.421432,80.0
2.970416,85.0
3.331784,90.0
3.39528,95.0
3.075528,100.0
3.003368,105.0
3.474776,110.0
3.682808,115.0
3.749248,120.0
3.34344,125.0
3.283024,130.0
3.298384,135.0
3.301928,140.0
1.803032,145.0
3.114416,150.0
3.39528,155.0
3.412176,160.0
3.512808,165.0
3.238368,170.0
3.01724,175.0
3.216776,180.0
2.987904,185.0
3.564432,190.0
3.43588,195.0
3.141752,200.0
3.160512,205.0
2.92588,210.0
2.607288,215.0
2.908968,220.0
3.064944,225.0
3.019016,230.0
3.251064,235.0
3.064296,240.0
3.371192,245.0
3.284416,250.0
3.230912,255.0
3.351872,260.0
3.320152,265.0
2.745248,270.0
2.877416,275.0
3.258168,280.0
3.225176,285.0
3.37108,290.0
