bandwidth,start_time_elapsed
2.410984,0.0
2.976168,5.0
3.061728,10.0
1.903152,15.0
2.802632,20.0
2.016248,25.0
1.0592,30.0
1.434952,35.0
2.064016,40.0
2.049696,45.0
2.463768,50.0
2.223848,55.0
1.974888,60.0
2.174304,65.0
2.247248,70.0
2.81692,75.0
2.865112,80.0
2.546656,85.0
1.461392,90.0
2.354608,95.0
2.864312,100.0
2.707688,105.0
2.378808,110.0
2.465616,115.0
2.069896,120.0
2.9094,125.0
3.220104,130.0
2.90696,135.0
2.497984,140.0
2.351352,145.0
1.40956,150.0
3.109376,155.0
2.4516,160.0
2.323792,165.0
2.340424,170.0
2.564688,175.0
2.30836,180.0
2.196776,185.0
2.312544,190.0
2.029616,195.0
2.357848,200.0
2.474312,205.0
1.690632,210.0
2.423656,215.0
2.827536,220.0
2.995224,225.0
2.66928,230.0
2.5426,235.0
2.476232,240.0
2.424496,245.0
2.429552,250.0
2.44364,255.0
2.231984,260.0
2.296056,265.0
1.635144,270.0
2.621328,275.0
2.177496,280.0
2.613664,285.0
2.291664,290.0
