size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,start_time_elapsed,end_time_elapsed,throughput
30.382,254.0,10.0,92.615,296.0,2147483647.0,0.092,88.037,0.131576,0.0,0.254,0.9569133858267717
20.288,155.0,32.0,106.313,308.0,2147483647.0,0.14,83.884,1.386976,0.255,0.41,1.0471225806451614
56.755,282.0,32.0,115.856,316.0,2147483647.0,0.136,83.884,1.386976,0.411,0.693,1.6100709219858156
55.635000000000005,279.0,72.0,166.625,368.0,2147483647.0,0.184,83.884,2.30772,0.694,0.973,1.5952688172043012
44.464,238.0,78.0,193.218,396.0,2147483647.0,0.236,83.884,2.30772,0.973,1.211,1.4945882352941176
44.82,243.0,78.0,170.314,372.0,2147483647.0,0.208,83.884,2.30772,1.212,1.455,1.4755555555555555
51.41499999999999,265.0,78.0,173.8,376.0,2147483647.0,0.216,83.884,2.30772,1.455,1.72,1.5521509433962262
53.125,267.0,78.0,190.409,392.0,78.0,0.232,83.884,2.30772,1.72,1.987,1.591760299625468
924.046,2693.0,78.0,171.497,372.0,78.0,0.204,83.884,2.30772,1.991,4.684,2.74503082064612
1521.062,4287.0,109.0,415.995,616.0,78.0,0.428,83.884,2.819504,4.689,8.976,2.8384641940751107
46.055,213.0,166.0,593.197,796.0,78.0,0.604,83.884,2.917536,8.976,9.189,1.7297652582159624
45.925,211.0,166.0,162.482,496.0,78.0,0.124,83.884,2.917536,9.189,9.4,1.7412322274881515
881.81,2483.0,166.0,157.399,488.0,78.0,0.188,83.884,2.917536,9.403,11.886,2.8411115585984694
877.0450000000001,3798.0,265.0,838.5709999999999,1088.0,78.0,0.848,83.884,2.942184,11.889,15.687,1.847382833070037
47.112,296.0,469.0,1977.133,2420.0,78.0,1.996,83.884,1.835672,15.688,15.984,1.2732972972972973
895.396,3101.0,469.0,328.276,1584.0,78.0,0.196,83.884,1.835672,15.987,19.088,2.3099542083198967
46.067,226.0,650.0,2130.263,3292.0,78.0,2.108,83.884,2.619848,19.088,19.314,1.6306902654867257
1065.802,3507.0,650.0,332.762,1684.0,78.0,0.388,83.884,2.619848,19.562,23.069,2.4312563444539492
55.761,321.0,825.0,3019.29,4292.0,78.0,3.056,83.884,2.473504,23.07,23.391,1.3896822429906543
1049.17,4989.0,825.0,352.627,2296.0,78.0,0.22,83.884,1.966512,23.394,28.383,1.6823732210863902
57.586,543.0,825.0,4621.079,6188.0,78.0,4.784,83.884,1.716464,28.383,28.926,0.8484125230202578
48.163,464.0,825.0,562.5590000000001,3872.0,78.0,0.376,83.884,1.048896,28.927,29.391,0.8303965517241378
856.956,5768.0,825.0,374.209,3548.0,78.0,0.448,83.884,1.048896,29.393,35.161,1.1885658807212205
52.572,394.0,825.0,5443.965999999999,7692.0,78.0,5.568,83.884,1.217992,35.162,35.556,1.0674517766497462
31.812,275.0,825.0,595.9910000000001,4360.0,78.0,0.228,83.884,1.38892,35.557,35.832,0.92544
707.429,3330.0,825.0,284.46500000000003,4040.0,78.0,0.264,83.884,1.38892,35.834,39.164,1.699529129129129
44.752,266.0,825.0,3116.36,5776.0,78.0,3.196,83.884,1.7556720000000003,39.165,39.431,1.3459248120300753
1068.161,4400.0,825.0,500.013,2676.0,78.0,0.184,83.884,1.7556720000000003,39.433,43.833,1.9421109090909092
62.352,339.0,825.0,4067.381,6124.0,78.0,4.148,83.884,1.989336,43.833,44.172,1.471433628318584
1023.238,4034.0,825.0,340.468,3124.0,78.0,0.192,83.884,2.02712,44.176,48.21,2.029227565691621
51.377,264.0,825.0,3769.283,6072.0,78.0,3.84,83.884,2.085504,48.211,48.475,1.556878787878788
708.868,2486.0,825.0,412.622,2972.0,78.0,0.14,83.884,2.372728,48.478,50.964,2.281152051488335
46.718,242.0,825.0,2250.11,4508.0,78.0,2.316,83.884,2.370432,50.965,51.207,1.5443966942148761
1373.604,5175.0,825.0,367.685,2200.0,78.0,0.532,83.884,2.370432,51.563,56.738,2.1234457971014495
46.483,260.0,1265.0,4556.514,6164.0,78.0,4.596,83.884,2.13864,56.739,56.999,1.4302461538461537
46.289,274.0,1265.0,603.494,3552.0,78.0,0.176,83.884,2.13864,57.0,57.274,1.3515036496350366
976.077,4195.0,1265.0,252.15500000000003,3200.0,78.0,0.548,83.884,2.13864,57.562,61.757,1.8614102502979737
63.858,359.0,1265.0,4005.342,6180.0,78.0,4.084,83.884,1.905536,61.757,62.116,1.4230194986072422
880.905,3463.0,1265.0,386.477,3128.0,78.0,0.252,83.884,1.885216,62.119,65.582,2.035010106843777
58.996,313.0,1265.0,3243.07,5260.0,78.0,3.324,83.884,2.09304,65.582,65.895,1.5078849840255593
1093.249,4179.0,1265.0,358.346,2588.0,78.0,0.236,83.884,2.09304,65.899,70.078,2.0928432639387413
56.11,294.0,1265.0,3942.739,5856.0,78.0,4.024,83.884,2.14656,70.079,70.373,1.5268027210884354
918.875,3150.0,1265.0,401.027,3076.0,78.0,0.208,83.884,2.14656,70.376,73.526,2.3336507936507935
53.061,245.0,1265.0,2935.807,5272.0,78.0,3.004,83.884,2.41612,73.527,73.772,1.7326040816326531
954.841,2908.0,1265.0,372.482,2360.0,78.0,0.184,83.884,2.41612,73.775,76.683,2.6267977991746907
772.424,2340.0,1265.0,2705.479,4500.0,78.0,2.768,83.884,2.710352,76.686,79.026,2.640765811965812
55.425,251.0,1265.0,2001.702,3840.0,78.0,2.064,83.884,2.746704,79.026,79.277,1.7665338645418325
835.5480000000001,2513.0,1265.0,297.542,1800.0,78.0,0.488,83.884,2.746704,79.562,82.075,2.659922005571031
877.668,2957.0,1265.0,2345.462,3632.0,78.0,2.404,83.884,2.758008,82.077,85.034,2.3744822455191072
56.352,274.0,1265.0,2588.056,4176.0,78.0,2.656,83.884,2.45696,85.035,85.309,1.6453138686131386
1008.432,4694.0,1265.0,344.572,2112.0,78.0,0.468,83.884,2.45696,85.562,90.256,1.7186740519812527
122.006,788.0,1265.0,4438.035,6004.0,78.0,4.552,83.884,1.750656,90.257,91.045,1.2386395939086294
46.229,352.0,1265.0,521.608,3596.0,78.0,0.592,83.884,1.427736,91.046,91.398,1.050659090909091
924.27,3559.0,1265.0,296.172,2888.0,78.0,0.504,83.884,1.427736,91.562,95.121,2.0775948300084295
43.03,239.0,1265.0,3366.235,5028.0,78.0,3.44,83.884,2.146264,95.121,95.36,1.4403347280334728
945.076,3102.0,1265.0,531.119,2816.0,78.0,0.376,83.884,2.146264,95.562,98.664,2.4373333333333336
980.584,2935.0,1265.0,2862.187,5036.0,78.0,2.924,83.884,2.523896,98.666,101.601,2.67280136286201
40.167,206.0,1265.0,2568.983,4508.0,78.0,2.628,83.884,2.759208,101.602,101.808,1.559883495145631
764.762,2425.0,1265.0,465.405,2208.0,78.0,0.164,83.884,2.759208,101.81,104.235,2.52292618556701
1021.631,3266.0,1265.0,2218.1000000000004,3904.0,78.0,2.284,83.884,2.631704,104.238,107.504,2.502464176362523
42.731,241.0,1265.0,2887.4970000000003,4408.0,78.0,2.96,83.884,2.57012,107.505,107.746,1.4184564315352697
520.8069999999999,1911.0,1265.0,481.9570000000001,2460.0,78.0,0.188,83.884,2.57012,107.748,109.659,2.180249084249084
823.098,2950.0,1265.0,1735.5259999999998,3616.0,78.0,1.8,83.884,2.30296,109.662,112.612,2.2321301694915254
864.062,2997.0,1265.0,2602.332,4052.0,78.0,2.676,83.884,2.308576,112.614,115.611,2.306471805138472
48.08299999999999,248.0,1265.0,2622.742,4408.0,78.0,2.684,83.884,2.377984,115.611,115.859,1.551064516129032
1243.918,4857.0,1265.0,389.115,2180.0,78.0,0.2,83.884,2.377984,115.863,120.72,2.0488663784228947
21.01,176.0,1265.0,4589.813,6236.0,78.0,4.68,83.884,2.089736,120.72,120.896,0.9550000000000001
488.415,1828.0,1265.0,1464.187,4424.0,78.0,0.144,83.884,2.089736,120.898,122.726,2.1374835886214445
385.03100000000006,1186.0,1265.0,1561.133,4700.0,78.0,1.62,83.884,2.277728,122.727,123.913,2.597173693086004
420.111,1286.0,1265.0,950.977,3064.0,78.0,1.008,83.884,2.818424,123.914,125.2,2.6134432348367027
1126.582,3142.0,1265.0,1083.693,2508.0,78.0,1.496,83.884,2.821704,125.562,128.704,2.8684455760662
902.83,2419.0,1265.0,2832.917,3888.0,78.0,2.888,83.884,2.970384,128.707,131.126,2.9857957833815627
55.42,228.0,1265.0,2087.963,3612.0,78.0,2.14,83.884,3.09672,131.126,131.354,1.944561403508772
1206.106,3490.0,1265.0,289.146,1708.0,78.0,0.388,83.884,3.09672,131.563,135.053,2.764712893982808
