start_time,end_time,size,trans_time,cwnd,rtt,rto,ssthresh,last_snd,min_rtt,delivery_rate,bytes_sent,bytes_retrans,client_trans_time
2020-08-24T23:32:50.835000Z,2020-08-24T23:32:51.167000Z,99.167,332.0,90.0,141.629,0.0,0.0,0.0,84.956,0.0787985,0.0,0.0,0.0
2020-08-24T23:32:51.167000Z,2020-08-24T23:32:51.393000Z,83.073,226.0,90.0,160.555,0.0,0.0,0.0,84.956,0.07951525,0.0,0.0,0.0
2020-08-24T23:32:51.393000Z,2020-08-24T23:32:51.608000Z,76.711,215.0,90.0,107.485,0.0,0.0,0.0,84.956,0.072632125,0.0,0.0,0.0
2020-08-24T23:32:51.608000Z,2020-08-24T23:32:51.968000Z,165.758,360.0,90.0,103.218,0.0,0.0,0.0,84.956,0.0796815,0.0,0.0,0.0
2020-08-24T23:32:51.968999Z,2020-08-24T23:32:52.509000Z,280.331,540.0,88.0,120.942,0.0,0.0,0.0,84.956,0.076361375,0.0,0.0,0.0
2020-08-24T23:32:52.510000Z,2020-08-24T23:32:53.235000Z,396.41,725.0,90.0,111.731,0.0,0.0,0.0,84.956,0.080983375,0.0,0.0,0.0
2020-08-24T23:32:53.236000Z,2020-08-24T23:32:53.967000Z,399.133,731.0,90.0,121.003,0.0,0.0,0.0,84.956,0.078561625,0.0,0.0,0.0
2020-08-24T23:32:53.968000Z,2020-08-24T23:32:55.149000Z,679.713,1181.0,90.0,125.152,0.0,0.0,0.0,84.956,0.074807625,0.0,0.0,0.0
2020-08-24T23:32:55.151000Z,2020-08-24T23:32:56.189000Z,591.665,1038.0,88.0,153.373,0.0,0.0,0.0,84.956,0.079521125,0.0,0.0,0.0
2020-08-24T23:32:56.190000Z,2020-08-24T23:32:57.149000Z,542.971,959.0,88.0,140.964,0.0,0.0,0.0,84.956,0.076185375,0.0,0.0,0.0
2020-08-24T23:32:57.150000Z,2020-08-24T23:32:58.451000Z,755.482,1301.0,90.0,142.804,0.0,0.0,0.0,84.956,0.064818625,0.0,0.0,0.0
2020-08-24T23:32:58.452000Z,2020-08-24T23:32:59.196000Z,391.231,744.0,90.0,161.79,0.0,0.0,0.0,84.956,0.078775625,0.0,0.0,0.0
2020-08-24T23:33:00.485000Z,2020-08-24T23:33:00.761999Z,117.271,277.0,90.0,146.19,0.0,0.0,0.0,84.956,0.07824025,0.0,0.0,0.0
2020-08-24T23:33:02.487000Z,2020-08-24T23:33:02.732000Z,96.173,245.0,90.0,114.361,0.0,0.0,0.0,84.956,0.080584375,0.0,0.0,0.0
2020-08-24T23:33:04.492000Z,2020-08-24T23:33:04.737000Z,96.376,245.0,92.0,105.564,0.0,0.0,0.0,84.956,0.07971775,0.0,0.0,0.0
2020-08-24T23:33:06.498000Z,2020-08-24T23:33:06.753999Z,95.962,256.0,90.0,105.25,0.0,0.0,0.0,84.956,0.07837225,0.0,0.0,0.0
2020-08-24T23:33:08.507000Z,2020-08-24T23:33:08.752000Z,96.223,245.0,88.0,93.302,0.0,0.0,0.0,84.956,0.07985375,0.0,0.0,0.0
2020-08-24T23:33:10.516000Z,2020-08-24T23:33:10.760000Z,96.351,244.0,88.0,93.961,0.0,0.0,0.0,84.956,0.079262,0.0,0.0,0.0
2020-08-24T23:33:12.520000Z,2020-08-24T23:33:12.763000Z,95.909,243.0,88.0,101.862,0.0,0.0,0.0,84.956,0.079332125,0.0,0.0,0.0
2020-08-24T23:33:14.527000Z,2020-08-24T23:33:15.107000Z,306.695,580.0,92.0,98.291,0.0,0.0,0.0,84.956,0.0800935,0.0,0.0,0.0
2020-08-24T23:33:16.530000Z,2020-08-24T23:33:17.257000Z,397.487,727.0,92.0,131.026,0.0,0.0,0.0,84.956,0.0806165,0.0,0.0,0.0
2020-08-24T23:33:18.536000Z,2020-08-24T23:33:19.464000Z,523.08,928.0,88.0,132.877,0.0,0.0,0.0,84.956,0.049815625,0.0,0.0,0.0
2020-08-24T23:33:20.540000Z,2020-08-24T23:33:21.497000Z,541.631,957.0,88.0,133.057,0.0,0.0,0.0,84.956,0.079430625,0.0,0.0,0.0
2020-08-24T23:33:22.508999Z,2020-08-24T23:33:23.424000Z,515.21,915.0,90.0,108.433,0.0,0.0,0.0,84.956,0.0794635,0.0,0.0,0.0
2020-08-24T23:33:24.552000Z,2020-08-24T23:33:25.409999Z,479.614,858.0,90.0,141.412,0.0,0.0,0.0,84.956,0.077596125,0.0,0.0,0.0
2020-08-24T23:33:26.556000Z,2020-08-24T23:33:27.723000Z,671.483,1167.0,90.0,135.029,0.0,0.0,0.0,84.956,0.07773375,0.0,0.0,0.0
2020-08-24T23:33:28.563000Z,2020-08-24T23:33:31.396000Z,1713.381,2833.0,4.0,159.896,0.0,0.0,0.0,84.956,0.069172875,0.0,0.0,0.0
